experiment,game_index,seed,label_a,label_b,p1_ai,p2_ai,p1_label,p2_label,winner_player,winner_ai,winner_label,first_attacker,trump_suit,rounds,p1_wounds,p2_wounds,tie_breaker,final_reason,hero_usage,drafted_heroes_p1,drafted_heroes_p2
Random_vs_Random,1,1000,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Rohan,17,3,1,False,normal,"{'nazgul': 1, 'balrog': 1, 'legolas': 1, 'gandalf': 1, 'aragorn': 1, 'sauron': 1, 'wormtongue': 1, 'frodo': 1}","['sauron', 'wormtongue', 'nazgul', 'frodo']","['gandalf', 'legolas', 'balrog', 'aragorn']"
Random_vs_Random,2,1001,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Gondor,19,5,2,False,normal,"{'nazgul': 1, 'gollum': 1, 'boromir': 1, 'aragorn': 1, 'balrog': 1, 'gandalf': 1, 'sauron': 1, 'frodo': 1}","['frodo', 'nazgul', 'aragorn', 'balrog', 'gollum']","['sauron', 'boromir', 'gandalf']"
Random_vs_Random,3,1002,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,15,1,3,False,normal,"{'aragorn': 1, 'wormtongue': 1, 'boromir': 1}","['aragorn', 'boromir']","['wormtongue', 'saruman', 'balrog', 'frodo', 'nazgul', 'legolas']"
Random_vs_Random,4,1003,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,18,3,3,False,normal,"{'balrog': 1, 'nazgul': 1, 'gollum': 1, 'galadriel': 1, 'sauron': 1, 'aragorn': 1, 'boromir': 1}","['gollum', 'boromir', 'balrog', 'nazgul', 'gandalf']","['galadriel', 'aragorn', 'sauron']"
Random_vs_Random,5,1004,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Mordor,20,6,1,False,normal,"{'frodo': 1, 'legolas': 1, 'boromir': 1, 'aragorn': 1, 'gollum': 1, 'galadriel': 1, 'nazgul': 1}","['nazgul', 'saruman']","['gollum', 'frodo', 'aragorn', 'legolas', 'boromir', 'galadriel']"
Random_vs_Random,6,1005,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Rohan,23,5,2,False,normal,"{'gollum': 1, 'balrog': 1, 'sauron': 1, 'frodo': 1, 'wormtongue': 1, 'nazgul': 1, 'boromir': 1, 'galadriel': 1}","['gollum', 'frodo', 'wormtongue']","['balrog', 'nazgul', 'boromir', 'galadriel', 'sauron']"
Random_vs_Random,7,1006,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Shire,11,6,0,False,normal,"{'saruman': 1, 'boromir': 1, 'aragorn': 1, 'gandalf': 1}","['boromir', 'gandalf', 'wormtongue', 'nazgul', 'gollum']","['aragorn', 'galadriel', 'saruman']"
Random_vs_Random,8,1007,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Rohan,23,1,3,False,normal,"{'legolas': 1, 'boromir': 1, 'balrog': 1, 'gollum': 1, 'sauron': 1, 'saruman': 1}","['aragorn', 'sauron', 'balrog', 'saruman', 'boromir', 'gollum']","['galadriel', 'legolas']"
Random_vs_Random,9,1008,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Rohan,15,6,1,False,normal,"{'balrog': 1, 'galadriel': 1, 'nazgul': 1, 'legolas': 1, 'gandalf': 1, 'sauron': 1, 'saruman': 1, 'wormtongue': 1}","['galadriel', 'legolas', 'nazgul', 'gandalf']","['sauron', 'balrog', 'wormtongue', 'saruman']"
Random_vs_Random,10,1009,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Mordor,18,6,1,False,normal,"{'nazgul': 1, 'gandalf': 1, 'sauron': 1, 'saruman': 1, 'gollum': 1, 'legolas': 1, 'galadriel': 1}","['aragorn', 'legolas', 'saruman', 'sauron', 'gollum']","['galadriel', 'gandalf', 'nazgul']"
