experiment,role,win_rate,ci95,games
Greedy_vs_Greedy,P1,0.51,0.021909083047905037,2000
Greedy_vs_Greedy,FirstAttacker,0.469,0.021871307944428015,2000
Greedy_vs_Strategic,P1,0.48133333333333334,0.025285851324699644,1500
Greedy_vs_Strategic,FirstAttacker,0.4726666666666667,0.02526565386653794,1500
Random_vs_Greedy,P1,0.498,0.025303288766482506,1500
Random_vs_Greedy,FirstAttacker,0.48133333333333334,0.025285851324699644,1500
Random_vs_Random,P1,0.4885,0.02190766930095486,2000
Random_vs_Random,FirstAttacker,0.486,0.021904874416439825,2000
Random_vs_Strategic,P1,0.514,0.02529357028179296,1500
Random_vs_Strategic,FirstAttacker,0.5066666666666667,0.02530124189603114,1500
Strategic_vs_Strategic,P1,0.502,0.021913290871067265,2000
Strategic_vs_Strategic,FirstAttacker,0.467,0.02186568656136825,2000
